,date,user,location,comment
0,2021-04-25 14:29:38,sharda9404,,"@elonmusk Why you are mum on bitcoin? You are letting it dump are you selling it slowly 😳😳?
At the time you investe… https://t.co/Ac0NeoaXok"
9,2021-04-26 23:37:40,_Kevin_Pham,,The CFO of Tesla calculating that the NPV of allocating billions toward using Elon's cult following to pump &amp; dump… https://t.co/WBXe0lXPeE
8,2021-04-26 23:45:58,RootVeritas,,RT @_Kevin_Pham: The CFO of Tesla calculating that the NPV of allocating billions toward using Elon's cult following to pump &amp; dump a knock…
7,2021-04-27 04:55:06,JonasFerris,"Miami Beach, FL",Tesla didn't just make money selling carbon credits last quarter... they also made a bundle pumping and dumping bit… https://t.co/jhEjJ6ELkH
6,2021-04-27 04:55:50,ClayFragulia,,RT @JonasFerris: Tesla didn't just make money selling carbon credits last quarter... they also made a bundle pumping and dumping bitcoin! I…
4,2021-04-27 06:53:44,Robert44279020,"Philadelphia, PA",RT @JonasFerris: Tesla didn't just make money selling carbon credits last quarter... they also made a bundle pumping and dumping bitcoin! I…
3,2021-04-28 00:48:43,itssimplyj_,Decentralization Matters 🗽,I'm not mad about @Tesla selling their #bitcoin but if you wanna prove liquidity...why not just pay for what you ne… https://t.co/T9nI6CJ2uB
2,2021-04-28 07:55:15,webnowcompany,USA,"Dave Portnoy aka “El Pres” of Barstool Sports is cheesed at Elon Musk‘s, or rather, Tesla’s decision to “dump” its… https://t.co/0hDBkRPgW6"
1,2021-04-29 06:27:19,BTC_TradingLab,,"ABC GAME is ON.

This USUAL BITCOIN pattern after a massive dump from 56.5k or SELLING WALL was really frustrating… https://t.co/eqBLgYlIlC"
0,2021-04-29 20:08:29,ventures_golden,,its so annoying when $BTC dump then altcoins dump too. we dont need #Bitcoin to control price others cryptocurrency… https://t.co/kUQjDpzVun
