,date,user,location,comment,Polarity,Analysis
17,2021-05-09 12:49:06,LensDeShaz,"Cardiff, Wales",money saturnatoken 2 night ago think woke morning see investment 3xd,0.0,Neutral
16,2021-05-09 22:14:41,GSDogira,Dogecity,retweet lensdeshaz money saturnatoken 2 night ago think woke morning see investment 3xd already,0.0,Neutral
15,2021-05-09 22:42:31,crypto_tech5,,aped sat safemoon clone mc actually grow fast safemoon do saturna_token,0.0,Neutral
14,2021-05-10 01:51:29,m_aichholz,,retweet lensdeshaz money saturnatoken 2 night ago think woke morning see investment 3xd already,0.0,Neutral
13,2021-05-10 18:31:19,HassanAhed,"London, England",crypto_boy000 chelsea finger cross ticker cfc hour old before christ contract,0.0,Neutral
12,2021-05-10 20:02:57,Tsunamipapi88,"Vancouver, British Columbia",saturnatoken 100x token hand project grow fast christ history,0.4939,Positive
11,2021-05-10 21:43:33,DrRealist2,,dog season right soon frog season christ token low fee worry gas fee,-0.6124,Negative
10,2021-05-10 23:37:15,JTSweetnam,Canada,onlyfuturistic crypto 6 year see hype like surround token saturna saturnatoken,0.3612,Positive
9,2021-05-10 23:59:37,cryptocheck123,,retweet jtsweetnam onlyfuturistic crypto 6 year see hype like surround token saturna saturnatoken,0.3612,Positive
8,2021-05-11 00:07:05,error4everr,,retweet jtsweetnam onlyfuturistic crypto 6 year see hype like surround token saturna saturnatoken,0.3612,Positive
7,2021-05-11 00:11:44,Abdulla48498126,,retweet jtsweetnam onlyfuturistic crypto 6 year see hype like surround token saturna saturnatoken,0.3612,Positive
6,2021-05-11 00:19:17,Thlcs13,,saturna token 93 m marketcap 4 day fast growth ever moonshot bscgem saturna saturnatoken doge,0.3818,Positive
5,2021-05-11 00:22:01,CryptoUnitcom,,retweet thlcs13 saturna token 93 m marketcap 4 day fast growth ever moonshot bscgem saturna saturnatoken doge crypto safemoon,0.3818,Positive
4,2021-05-11 10:24:49,GSDogira,Dogecity,retweet tsunamipapi88 saturnatoken 100x token hand project grow fast christ history,0.4939,Positive
3,2021-05-11 10:26:12,cryptocheck123,,retweet tsunamipapi88 saturnatoken 100x token hand project grow fast christ history,0.4939,Positive
2,2021-05-11 20:12:49,CsonkaNick,,coinmarketcap saturna deserve look at thought you have see community toke,0.0,Neutral
1,2021-05-11 21:01:31,0000FFCoin,,people tell chance insert token here get 001c low remind chance b,0.2263,Positive
0,2021-05-11 23:58:16,Cryptoinvest__,"Bruxelles, Belgique",retweet lensdeshaz money saturnatoken 2 night ago think woke morning see investment 3xd already,0.0,Neutral
